Path,Average,std,std_error,Num,平均(標準偏差)
./Path A,0.21067693955831562,0.014113117796550244,0.003155789076754839,33,0.21±0.01
./Path B,0.0885019324008642,0.006580644850876324,0.0014714769222343427,42,0.09±0.01
./Path C,1.2807395827617962,0.6640216299466516,0.1484797503090923,35,1.28±0.66
./Path D,1.8776112129652696,0.4269407393821002,0.09546685156223976,28,1.88±0.43
./Path E,3.6832327202761057,0.9610219046559912,0.21489103066771179,38,3.68±0.96
./Path F,2.512956101704719,0.6103234385330042,0.13647246968212118,52,2.51±0.61
./Path G,2.7079959175518846,0.9399312454309685,0.2101750158959684,51,2.71±0.94
./Path H,2.184141641309416,0.3301712142188441,0.07382852792069805,39,2.18±0.33
./Path I,0.7051729843938863,0.22586812883975957,0.050505649003638305,39,0.71±0.23
